# Every file under results/, exactly once, with how it is produced.
#
# Enforced by `crates/bank-bench/tests/results_manifest.rs`: a file here that is not on
# disk, or on disk and not here, fails the build. Written because `make reproduce` ends in
# `git diff --exit-code -- results/`, which is silent about every file the recipe does not
# regenerate — 14 of 51 at the time this was written, so the gate passed vacuously for 37.
#
# class:
#   byte-deterministic  same bytes on any host with the pinned toolchain; `make reproduce`
#                       regenerates it and the diff is meaningful
#   toolchain-scoped    same bytes within one toolchain and target; allocation *counts* are
#                       exact across hosts, allocation *bytes* are not
#   machine-dependent   acquired by measurement; regenerating it on another host is expected
#                       to differ. Never regenerated by `make reproduce`; acquired only by an
#                       explicit command, and published only with `--publish`
#   historical          produced once by something no longer wired, or by hand. Retained as
#                       evidence, cited by the thesis, and NOT regenerable. Do not delete
#                       without checking the citation.
#
# regenerated_by: the exact command, or `none` for historical.
path,class,regenerated_by
E1-correctness.md,byte-deterministic,cargo run --release -p experiments -- e1
e1_correctness.csv,byte-deterministic,cargo run --release -p experiments -- e1
E8-rungs.md,byte-deterministic,cargo run --release -p experiments -- e8
e8_rungs.csv,byte-deterministic,cargo run --release -p experiments -- e8
e4_phase.csv,byte-deterministic,cargo run --release -p experiments -- e4
E17-unnesting-table.md,byte-deterministic,cargo test -p nilestream-optimizer --test unnest_corpus -- --ignored
E18-solver-verdicts.md,byte-deterministic,cargo test -p niles-lang --test solver_verdicts -- --ignored
obligations.csv,byte-deterministic,cargo test -p niles-lang --test corpus_obligations
wire-protocol-session.md,byte-deterministic,cargo test -p nilestream-server --test psql_conformance -- --ignored transcript
e12_phase_compiled.csv,byte-deterministic,./target/release/nilestream sweep examples/demo_bank.niles ledger_balance > results/e12_phase_compiled.csv
E23-scaling.md,byte-deterministic,cargo run --release -p bank-bench --bin bench -- --render
E18-memory.csv,toolchain-scoped,cargo run -q --release --manifest-path tools/memprobe/Cargo.toml
E18-memory.md,toolchain-scoped,cargo run -q --release --manifest-path tools/memprobe/Cargo.toml
E23-scaling/E23-scaling.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --e23 --publish
E16-wallclock.md,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/oltp.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/analytical.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/analytical-statements.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/point.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/durable.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/report.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E16-wallclock/device.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --publish
E19-scaling.md,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --scaling-only --connections 1,2,4 --publish
E19-scaling/E19-scaling.md,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --scaling-only --connections 1,2,4 --publish
E19-scaling/point.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --scaling-only --connections 1,2,4 --publish
E19-scaling/durable.csv,machine-dependent,cargo run --release -p bank-bench --bin bench -- --run --scaling-only --connections 1,2,4 --publish
E21-wire-cost.md,machine-dependent,cargo run --release -p bank-bench --example wire_cost
E13-durability.md,machine-dependent,cargo run --release -p nilestream-ledger --bin durability-bench > results/E13-durability.md
e2_duality.csv,byte-deterministic,cargo run --release -p experiments -- e2
e3_memory_vs_skew.csv,byte-deterministic,cargo run --release -p experiments -- e3
e5_history.csv,byte-deterministic,cargo run --release -p experiments -- e5
e6_policies.csv,byte-deterministic,cargo run --release -p experiments -- e6
e7_write_path.csv,byte-deterministic,cargo run --release -p experiments -- e7
e9_history_refined.csv,byte-deterministic,cargo run --release -p experiments -- e9
e10_checkpoints.csv,byte-deterministic,cargo run --release -p experiments -- e10
e4.log,historical,none
e9.log,historical,none
e10.log,historical,none
e56.log,historical,none
e78.log,historical,none
e11_compiled_loop.log,historical,none
e11_checkpoint_bound.csv,historical,none
E11-E12-compiled-path.md,historical,none
E14-minimal-counterproposal.md,historical,none
E15-bootstrap-gates.md,historical,none
E16-band.md,historical,none
E17-unnesting.md,historical,none
